Point Id,Northing,Easting,Elevation,Code,Code Description,,,,
2404,6008933.077,639900.565,645.418,BED,BED,,,,
2405,6008933.169,639902.401,645.53,BED,BED,,,,
2406,6008932.921,639904.042,645.93,BED,BED,,,,
2407,6008933.018,639904.424,646.126,WL,WATERLEVEL,,,,
2408,6008932.865,639904.618,646.201,BOB,BOTTOM OF BANK,,,,
2409,6008932.925,639908.836,647.668,TOB,TOP OF BANK,,,,
2410,6008933.948,639911.946,647.795,GS,GROUND SHOT,,,,
2411,6008800.883,639915.375,646.373,GS,GROUND SHOT,,,,
2412,6008799.234,639911.578,646.316,TOB,TOP OF BANK,,,,
2413,6008799.246,639911.316,646.192,WL,WATERLEVEL,,,,
2414,6008799.093,639911.298,646.023,BED,BED,,,,
2415,6008798.797,639910.71,645.832,BED,BED,,,,
2416,6008798.434,639909.852,645.664,BED,BED,,,,
2417,6008797.855,639908.286,645.6,BED,BED,,,,
2418,6008797.428,639906.673,645.566,BED,BED,,,,
2419,6008796.841,639905.289,645.413,BED,BED,,,,
2420,6008796.577,639903.905,645.685,BED,BED,,,,
2421,6008795.877,639902.896,645.993,BED,BED,,,,
2422,6008795.873,639902.732,646.123,BED,BED,,,,
2423,6008795.757,639902.612,646.219,BOB,BOTTOM OF BANK,,,,
2424,6008794.959,639901.97,647.021,TOB,TOP OF BANK,,,,
2450,6008055.893,639690.802,650.325,GS,GROUND SHOT,,,,
2451,6008055.914,639690.76,650.83,GS,GROUND SHOT,,,,
2452,6008038.551,639701.515,650.826,GS,GROUND SHOT,,,,
2453,6008019.98,639697.226,650.783,GS,GROUND SHOT,,,,
2454,6008012.703,639702.033,650.827,BERM TOP,,,,,
2455,6008005.52,639704.6,650.826,BERM TOP,,,,,
2456,6008001.252,639708.788,650.904,BERM TOP,,,,,
2457,6008020.768,639711.462,650.29,TL,TREELINE,,,,
2458,6008020.456,639712.193,650.019,TOB,TOP OF BANK,,,,
2459,6008025.12,639716.349,650.47,GS,GROUND SHOT,,,,
2460,6008023.605,639717.033,650.151,TOB,TOP OF BANK,,,,
2461,6008012.608,639712.256,650.013,GS,GROUND SHOT,,,,
2462,6008014.094,639711.884,649.945,TOB,TOP OF BANK,,,,
2463,6008012.621,639720.041,650.168,GS,GROUND SHOT,,,,
2464,6008014.37,639719.043,650.133,TOB,TOP OF BANK,,,,
2465,6008018.599,639712.881,647.992,BOB,BOTTOM OF BANK,,,,
2466,6008017.781,639713.324,647.857,GS,GROUND SHOT,,,,
2467,6008016.844,639713.611,647.974,GS,GROUND SHOT,,,,
2468,6008016.302,639713.434,648.177,BOB,BOTTOM OF BANK,,,,
2469,6008016.853,639718.377,647.896,BOB,BOTTOM OF BANK,,,,
2470,6008018.002,639718.008,647.347,GS,GROUND SHOT,,,,
2471,6008018.166,639717.859,647.34,WL,WATERLEVEL,,,,
2472,6008018.603,639717.708,646.986,BED,BED,,,,
2473,6008019.192,639717.779,646.699,BED,BED,,,,
2474,6008019.838,639717.426,646.736,BED,BED,,,,
2475,6008020.32,639717.266,647.079,BED,BED,,,,
2476,6008020.64,639717.15,647.35,WL,WATERLEVEL,,,,
2477,6008021.217,639716.876,647.805,GS,GROUND SHOT,,,,
2478,6008021.627,639716.637,648.024,BOB,BOTTOM OF BANK,,,,
2479,6008034.097,639733.164,650.535,GS,GROUND SHOT,,,,
2480,6008032.749,639733.198,650.381,TOB,TOP OF BANK,,,,
2481,6008029.824,639733.063,649.093,GS,GROUND SHOT,,,,
2482,6008027.062,639733.375,647.516,BOB,BOTTOM OF BANK,,,,
2483,6008026.835,639733.357,647.363,WL,WATERLEVEL,,,,
2484,6008026.185,639733.586,646.993,BED,BED,,,,
